Community Area Number,Community Area,Population
1,Rogers Park,53470
2,West Ridge,75185
3,Uptown,54001
4,Lincoln Square,46881
5,North Center,35406
6,Lakeview,102584
7,Lincoln Park,65711
8,Near North Side,96466
9,Edison Park,10856
10,Norwood Park,32589
11,Jefferson Park,27934
12,Forest Glen,18568
13,North Park,13097
14,Albany Park,50485
15,Portage Park,72581
16,Irving Park,55174
17,Dunning,43414
18,Montclare ,7406
19,Belmont Cragin,78037
20,Hermosa,28720
21,Avondale,33327
22,Logan Square,77219
23,Humboldt Park,44841
24,West Town,84660
25,Austin,97604
26,West Garfield Park,20146
27,East Garfield Park,21745
28,Near West Side,62655
29,North Lawndale,36529
30,South Lawndale,64000
31,Lower West Side,35783
32,Loop,32936
33,Near South Side,26324
34,Armour Square,9906
35,Douglas ,28770
36,Oakland,5181
37,Fuller Park,3220
38,Grand Boulevard,26631
39,Kenwood,12982
40,Washington Park,18077
41,Hyde Park,28394
42,Woodlawn,25743
43,South Shore,42198
44,Chatham,35326
45,Avalon Park,7033
46,South Chicago,30009
47,Burnside,1703
48,Calumet Heights,12664
49,Roseland,41498
50,Pullman,8359
51,South Deering,11555
52,East Side,25925
53,West Pullman,27799
54,Riverdale,6565
55,Hegewisch,9745
56,Garfield Ridge,36806
57,Archer Heights,16592
58,Brighton Park,41813
59,McKinley Park,13778
60,Bridgeport,31893
61,New City,42047
62,West Elsdon,16218
63,Gage Park,40699
64,Clearing,28563
65,West Lawn,31134
66,Chicago Lawn,48376
67,West Englewood,32410
68,Englewood,27383
69,Greater Grand Crossing,33003
70,Ashburn,41782
71,Auburn Gresham,46817
72,Beverly,19969
73,Washington Heights,28062
74,Mount Greenwood,16878
75,Morgan Park,23900
76,O'Hare,10222
77,Edgewater,56536
